0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:38 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:17:39 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 10316
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:18:58 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 9960
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:44 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:19:45 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 10121
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:54 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:20:55 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 10121
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:16 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 10121
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
